City,Latitud,Temperature,Humidity,Cloudiness,Wind Speed
Lorengau,-2.02,28.98,75,49,4.41
Santiago de Chuco,-8.15,10.03,74,21,0.46
Tuktoyaktuk,69.45,7.0,75,75,4.6
North Platte,41.12,28.35,58,1,5.1
Yellowknife,62.46,18.01,93,75,3.1
Tiznit Province,29.58,25.32,42,0,0.81
Rikitea,-23.12,19.24,68,100,7.36
Norfolk,42.17,22.35,78,75,1.62
Mar del Plata,-38.0,10.8,100,90,8.2
Sur,22.57,29.18,70,58,6.5
Airai,-8.93,20.71,40,42,2.41
Saint-Philippe,-21.36,15.71,59,90,2.6
Meulaboh,4.14,25.88,85,100,2.05
Talcahuano,-36.72,10.0,81,20,2.6
Tautira,-17.73,28.0,61,20,3.1
Dvinskoy Bereznik,62.86,15.5,96,100,3.76
Puerto Ayora,-0.74,20.0,94,98,1.79
Busselton,-33.65,13.74,49,77,7.56
Nikolskoye,59.7,12.1,76,20,4.0
Mayo,38.89,22.9,94,1,2.04
Avarua,-21.21,25.0,88,14,5.1
‘Āhuimanu,21.44,27.26,62,40,4.6
Dikson,73.51,4.41,91,99,4.03
New Norfolk,-42.78,9.93,76,99,1.79
Kapaa,22.08,26.01,78,40,2.1
Albany,42.6,22.13,91,100,1.63
Hithadhoo,-0.6,28.64,71,97,3.78
Port Elizabeth,-33.92,13.0,100,20,5.7
Ribeira Grande,38.52,21.27,69,17,1.31
Okrika,4.74,24.45,86,100,2.76
Arman',59.7,17.78,55,20,2.92
Hilo,19.73,24.3,58,40,4.1
Ushuaia,-54.8,4.0,51,100,6.2
Middelburg,-25.78,4.77,67,0,1.5
Severo-Kuril'sk,50.68,11.12,86,100,1.59
Zhizdra,53.75,8.66,97,0,3.38
San Patricio,19.22,28.0,69,75,7.7
Cape Town,-33.93,11.55,93,0,2.6
Atuona,-9.8,26.14,75,1,8.0
Zyryanka,65.75,29.41,32,43,6.95
Hobart,-42.88,11.27,62,20,5.7
Thinadhoo,0.53,27.17,79,100,7.4
Hermanus,-34.42,11.67,96,0,0.89
Canutama,-6.53,25.48,64,82,0.7
Ahipara,-35.17,15.54,65,97,6.37
Chokurdakh,70.63,32.42,28,40,4.65
Fort Morgan,40.25,32.0,25,1,3.1
Samfya,-11.36,11.65,74,0,3.84
Kropotkin,45.44,17.64,81,0,2.76
Arraial do Cabo,-22.97,21.78,87,0,3.1
Vaini,-21.2,22.0,83,75,6.7
Grand-Santi,4.25,22.95,95,100,0.86
Bethel,41.37,22.36,95,100,0.45
San Vicente,-26.62,17.65,86,96,1.79
Bluff,-46.6,3.89,83,96,1.34
Tuatapere,-46.13,3.89,83,86,1.34
Ust-Maya,60.42,21.66,46,13,4.36
Touros,-5.2,24.0,78,75,4.1
Esperance,-33.87,15.0,82,90,9.3
Ino,33.55,28.0,83,75,3.1
Chernyshevskiy,63.01,17.98,63,0,1.9
Marawi,8.0,28.89,75,19,0.89
Mataura,-46.19,3.89,83,100,1.34
Kutum,14.2,21.26,78,97,7.13
Kaitangata,-46.28,6.11,65,95,5.81
Castro,-24.79,14.28,82,100,1.22
Sørland,67.67,11.26,81,100,9.02
Okato,-39.2,12.64,61,66,6.26
Chui,-33.7,17.75,94,100,3.03
Gonbad-e Kāvūs,37.25,26.0,83,63,3.1
Cabedelo,-6.98,23.0,83,24,3.1
Shawnee,39.05,27.8,66,1,2.1
Qaanaaq,77.48,7.18,58,0,0.33
Tamandaré,-8.76,23.55,72,0,4.45
Anstruther,56.22,14.11,93,99,2.6
Butaritari,3.07,28.6,76,93,6.78
Ilulissat,69.22,11.0,66,100,1.9
Altay,47.87,20.52,50,62,1.97
Stavern,59.0,9.56,70,0,1.5
Nome,64.5,13.03,76,1,8.2
Ardabil,38.25,16.3,89,100,2.26
Tubualá,9.52,26.56,83,40,2.6
Yangi Marg`ilon,40.43,22.0,53,37,2.1
Najrān,17.49,30.0,19,40,2.1
Afuá,-0.16,24.81,86,99,2.64
Buchanan,5.88,24.0,94,75,3.87
Provideniya,64.38,10.0,81,0,7.0
Punta Arenas,-53.15,-3.0,92,37,2.1
Fulton,33.77,26.86,74,75,2.1
Pevek,69.7,13.32,53,89,4.36
Aklavik,68.22,12.0,54,40,1.5
Thompson,55.74,25.0,57,40,1.0
Provost,52.35,22.58,81,0,4.28
East London,-33.02,17.69,30,0,3.75
Mahajanga,-15.72,18.0,68,20,3.1
Barrow,71.29,6.0,81,90,4.1
Benidorm,38.54,25.06,41,0,2.57
Ati,13.22,28.11,61,95,7.56
Ketchikan,55.34,18.21,63,90,3.1
São Francisco,-15.95,18.89,44,0,2.02
Salalah,17.02,26.0,94,90,5.1
Valday,57.97,10.19,93,96,4.07
Estevan,49.13,26.94,61,1,7.7
Betioky,-23.72,12.34,74,0,2.82
Fort Nelson,58.81,17.0,67,75,3.6
Simao,22.79,21.83,83,75,1.81
Imbituba,-28.24,17.0,93,100,1.0
Lieksa,63.32,14.01,95,100,4.02
Baraki Barak,33.97,22.41,21,0,0.96
Leningradskiy,69.38,17.58,39,100,3.15
Maniitsoq,65.42,11.92,74,68,5.23
Dalvik,65.97,9.0,81,90,3.6
Havelock,34.88,28.32,66,20,3.6
Jalu,29.03,23.01,40,0,3.88
Torbay,47.67,17.28,67,75,7.7
Harrai,22.62,26.36,79,91,3.34
Praia,14.92,27.0,78,20,1.5
Codrington,-38.27,10.59,74,100,1.87
Hrubieszów,50.8,11.18,89,19,1.75
Onega,63.91,15.59,94,99,3.71
Inyonga,-6.72,15.24,68,29,2.14
Barabai,-2.58,30.14,66,44,0.54
Jamestown,42.1,22.14,94,90,2.6
Longyearbyen,78.22,7.91,75,96,1.47
Fallon,39.47,26.06,28,75,9.3
Udachny,66.42,12.0,87,90,4.0
Saint Paul Harbor,57.79,19.0,48,1,7.2
Narsaq,60.92,18.0,54,100,12.9
Port Alfred,-33.59,18.37,38,0,4.22
San Cristobal,7.77,18.52,90,87,1.16
Stephenville,32.22,31.76,46,1,4.6
Sisimiut,66.94,12.03,72,3,0.99
Ambon City,-3.7,28.43,78,60,3.6
Norman Wells,65.28,12.0,81,75,7.7
Bandarbeyla,9.49,25.6,67,7,11.29
Lodja,-3.48,21.69,48,99,0.75
Sitka,57.05,14.0,87,90,3.6
Lodwar,3.12,26.35,61,86,7.35
Kologriv,58.83,13.63,96,99,0.59
Syracuse,37.09,22.25,88,0,2.1
Saint-Pierre,-21.34,16.38,59,90,2.6
Mount Gambier,-37.83,9.0,81,90,4.1
Kjøllefjord,70.95,9.22,93,98,5.11
Jiguaní,20.37,28.0,78,75,5.1
Lékoni,-1.58,23.73,68,100,2.62
Orlik,52.52,17.1,57,19,1.31
Yulara,-25.24,13.0,43,0,6.7
Ma’anshan,31.7,28.29,78,75,5.0
Bredasdorp,-34.53,14.0,93,0,1.0
Miandrivazo,-19.52,16.92,55,50,1.35
Sri Aman,1.24,25.78,94,20,1.0
Asău,46.43,14.44,98,90,0.63
Biloela,-24.42,17.69,75,100,6.5
Port Moresby,-9.44,28.0,74,75,5.1
Lata,40.16,19.44,73,0,0.47
Ostrovnoy,68.05,16.26,74,34,5.14
Geraldton,-28.77,19.0,72,40,5.7
Margate,51.38,15.74,67,24,0.89
Dillon,34.42,28.02,78,1,2.6
Amalāpuram,16.58,26.79,85,100,2.26
Elk City,35.41,30.0,55,1,4.1
Muncar,-8.43,25.88,81,97,3.06
Mongo,12.18,25.42,72,100,3.63
Kiryat Gat,31.61,21.43,64,0,1.05
Dubrovnik,42.65,25.0,50,0,1.0
Pangai,-19.8,25.0,61,20,3.6
Karratha,-20.74,23.92,34,0,6.46
Buraidah,26.33,34.0,28,40,3.6
Atar,20.52,32.24,34,2,3.92
Nanortalik,60.14,10.07,72,100,2.77
Guerrero Negro,27.98,20.06,81,0,8.67
Salinópolis,-0.61,26.11,82,95,4.98
Acapulco de Juárez,16.86,29.0,74,75,2.1
Coyhaique,-45.58,0.0,94,75,1.5
Porirua,-41.13,12.95,69,0,8.49
Hambantota,6.12,25.0,100,40,1.0
Piaçabuçu,-10.41,23.62,81,0,4.82
Petropavlovsk-Kamchatskiy,53.05,20.0,49,40,2.0
Portland,45.52,25.69,42,1,4.6
São Domingos do Maranhão,-5.58,23.78,55,17,2.21
Tasiilaq,65.61,3.0,93,5,1.46
Porto-Novo,6.5,24.0,94,20,3.1
Arrecife,28.96,22.0,83,9,6.2
Laguna,38.42,28.48,32,1,4.6
Divnogorsk,55.96,14.0,82,1,3.0
Kyrnasivka,48.6,13.33,90,0,2.35
La Ronge,55.1,23.0,73,75,2.71
Matara,5.95,27.39,84,85,2.77
Peniche,39.36,17.75,95,0,0.89
Port Macquarie,-31.43,18.33,70,42,0.45
Broome,42.25,22.9,73,40,1.5
Port Hardy,50.7,17.0,72,20,6.2
Baní,18.28,25.56,90,63,1.34
Moose Factory,51.26,13.0,87,1,1.5
