City,Latitud,Longitud,Temperature,Humidity,Cloudiness,Wind Speed
Chute-aux-Outardes,49.12,-68.4,16.0,100,90,1.0
Atuona,-9.8,-139.03,25.95,73,5,7.86
Constitución,-35.33,-72.42,10.94,80,100,1.08
Rikitea,-23.12,-134.97,22.84,87,98,5.84
Ushuaia,-54.8,-68.3,2.0,59,20,1.5
Dikson,73.51,80.55,11.92,72,100,5.19
Along,28.17,94.77,22.87,90,100,0.22
Port Elizabeth,-33.92,25.57,10.0,93,2,2.1
Malanje,-9.54,16.34,15.12,35,0,0.86
Katsuura,35.13,140.3,24.63,88,75,3.1
Cape Town,-33.93,18.42,8.92,100,0,1.0
Atar,20.52,-13.05,31.55,44,100,1.01
Camacupa,-12.02,17.48,10.59,48,0,2.03
Aksarka,66.56,67.8,9.1,90,0,2.31
Pevek,69.7,170.31,2.58,96,100,4.13
Bemidji,47.47,-94.88,24.1,50,1,1.38
New Norfolk,-42.78,147.06,10.21,80,100,1.79
Sémbé,1.65,14.58,20.9,87,44,1.02
Salinópolis,-0.61,-47.36,26.63,81,95,3.94
Carutapera,-1.2,-46.02,24.22,92,81,2.16
Tazovsky,67.47,78.7,12.0,99,100,3.45
Coyhaique,-45.58,-72.07,0.0,85,40,1.5
Hilo,19.73,-155.09,24.95,54,1,5.1
Bariloche,-41.15,-71.31,3.0,93,40,5.1
Mataura,-46.19,168.86,11.0,79,100,0.83
Beringovskiy,63.05,179.32,9.85,87,99,5.97
Pozo Colorado,-23.49,-58.8,11.71,62,0,2.25
Busselton,-33.65,115.33,10.36,91,19,2.62
São Filipe,14.9,-24.5,24.22,84,26,3.36
Bluff,-46.6,168.33,9.81,89,100,1.65
Arraial do Cabo,-22.97,-42.03,19.43,82,100,7.19
Gorontalo,0.54,123.06,24.68,91,97,1.91
Barrow,71.29,-156.79,3.0,93,90,3.6
Matamoros,25.53,-103.25,28.0,48,75,5.7
Punta Arenas,-53.15,-70.92,2.89,86,72,5.7
Albany,42.6,-73.97,24.22,54,94,0.89
Yellowknife,62.46,-114.35,21.65,43,40,6.7
Puerto Ayora,-0.74,-90.35,19.44,93,90,1.34
Saskylakh,71.92,114.08,15.62,60,0,1.31
Tzucacab,20.07,-89.05,30.74,55,41,2.25
Port Alfred,-33.59,26.89,13.41,84,23,3.48
Coquimbo,-29.95,-71.34,11.0,93,10,2.1
Cherskiy,68.75,161.3,8.62,71,97,4.07
Tasiilaq,65.61,-37.64,7.0,70,96,0.74
Margate,51.38,1.39,18.88,81,2,0.89
Bambous Virieux,-20.34,57.76,20.53,88,75,2.1
Dondo,-19.61,34.74,16.11,91,0,1.22
Kapaa,22.08,-159.32,27.24,69,40,6.7
Ilulissat,69.22,-51.1,8.0,65,33,1.0
Nara,34.69,135.8,27.92,83,75,3.6
Vaini,-21.2,-175.2,24.0,64,20,6.7
Tuktoyaktuk,69.45,-133.04,19.0,63,75,1.5
Sitka,57.05,-135.33,18.0,68,40,2.6
Skibbereen,51.55,-9.27,15.0,100,75,4.6
Avarua,-21.21,-159.78,22.0,56,96,2.6
Hithadhoo,-0.6,73.08,28.36,75,90,3.54
Hermanus,-34.42,19.23,8.33,95,0,0.45
Nikolskoye,59.7,30.79,13.17,87,30,2.0
Kirovskiy,45.09,133.51,24.2,76,1,1.49
Jalu,29.03,21.55,26.51,46,0,4.91
Ribeira Grande,38.52,-28.7,21.36,76,64,5.98
Khurai,24.04,78.33,26.94,78,99,2.52
Adrar,20.5,-10.07,33.4,35,39,2.19
Longyearbyen,78.22,15.64,9.0,87,75,3.1
Orlik,52.52,99.83,15.75,66,98,1.95
Trabzon Province,40.92,39.83,25.0,78,40,2.6
Haines Junction,60.75,-137.51,23.67,36,0,4.03
Port Macquarie,-31.43,152.92,15.56,76,38,0.45
Ponta do Sol,32.67,-17.1,18.21,68,20,3.1
Philadelphia,39.95,-75.16,29.79,62,90,2.1
Yerbogachën,61.28,108.01,16.0,67,45,4.75
Río Gallegos,-51.62,-69.22,2.0,80,40,2.1
Bambanglipuro,-7.95,110.28,24.32,77,23,1.52
Surab,28.49,66.26,24.24,54,0,1.78
Vestmannaeyjar,63.44,-20.27,11.62,84,100,4.62
Kaoma,-14.78,24.8,12.69,60,0,2.73
Vanavara,60.34,102.28,17.23,73,75,2.69
Korla,41.76,86.15,24.44,66,0,0.45
Thompson,55.74,-97.86,19.0,93,90,1.5
Chui,-33.7,-53.46,7.56,86,0,4.44
Skegness,53.14,0.34,17.02,68,0,4.02
Bilma,18.69,12.92,33.48,20,71,3.19
Tiksi,71.69,128.87,5.65,89,95,2.41
Camacha,33.08,-16.33,20.0,72,75,3.6
Fortuna,40.6,-124.16,18.67,70,1,1.34
Kargat,55.2,80.28,11.26,93,100,4.35
Richards Bay,-28.78,32.04,16.32,72,74,2.54
Kavieng,-2.57,150.8,29.35,73,100,4.29
Vao,-22.67,167.48,22.57,90,38,7.74
Chokurdakh,70.63,147.92,8.63,76,91,4.37
Karasburg,-28.02,18.75,13.05,36,0,3.91
Kushima,31.46,131.23,28.75,66,20,1.5
Bredasdorp,-34.53,20.04,10.0,87,0,2.6
‘Ewa Beach,21.32,-158.01,29.13,51,75,3.1
Lorengau,-2.02,147.27,30.08,64,100,2.65
Provideniya,64.38,-173.3,10.0,76,90,6.0
Saint-Philippe,-21.36,55.77,15.04,72,75,3.1
Souillac,-20.52,57.52,21.0,88,75,2.1
Codrington,-38.27,141.97,9.29,80,79,4.58
Kerman,30.28,57.08,23.0,23,0,2.1
Lagoa,39.05,-27.98,21.13,76,44,5.54
Chernyshevskiy,63.01,112.47,17.17,61,100,4.04
Abhā,18.22,42.51,18.46,93,40,2.6
Castro,-24.79,-50.01,8.84,89,57,4.74
Khatanga,71.97,102.5,19.39,43,17,6.17
Kruisfontein,-34.0,24.73,9.2,85,0,2.03
Maracaçumé,-2.04,-45.96,23.7,85,4,1.54
Tiznit Province,29.58,-9.5,27.05,40,41,0.63
Sergeevka,53.88,67.42,16.68,92,30,3.44
Camaquã,-30.85,-51.81,8.82,93,0,2.58
Kaabong,3.48,34.15,17.06,76,1,0.63
Lewistown,40.6,-77.57,26.73,83,1,3.15
Chimbote,-9.09,-78.58,15.44,87,60,1.83
Wasilla,61.58,-149.44,23.22,44,75,2.6
Lavrentiya,65.58,-171.0,8.63,79,100,4.82
Bathsheba,13.22,-59.52,28.0,74,40,4.6
Kirakira,-10.45,161.92,29.15,69,31,1.44
Laguna,38.42,-121.42,35.46,17,1,5.1
Cabo San Lucas,22.89,-109.91,30.04,54,5,5.7
Lebu,-37.62,-73.65,9.98,91,99,5.33
Aden,12.78,45.04,31.43,70,41,1.59
Caravelas,-17.71,-39.25,21.9,81,0,3.26
Alta Floresta,-9.88,-56.09,24.39,33,0,1.33
Mar del Plata,-38.0,-57.56,7.93,81,88,6.2
Hong Kong,22.29,114.16,27.12,83,40,10.3
George Town,5.41,100.34,25.36,94,20,1.0
Launceston,-41.45,147.17,7.44,93,90,5.7
Qaanaaq,77.48,-69.36,5.53,66,22,2.65
Kieta,-6.22,155.63,29.11,71,100,0.9
East London,-33.02,27.91,15.08,76,53,2.65
Hūn,29.13,15.95,25.0,41,0,3.16
Rosetown,51.55,-108.0,29.44,51,0,6.48
Butaritari,3.07,172.79,28.06,73,56,3.05
Bud,39.45,-86.18,20.07,88,90,4.52
Torbay,47.67,-52.73,14.9,100,90,1.0
Iquique,-20.22,-70.14,15.0,72,20,5.1
Ocoee,28.57,-81.54,30.27,69,2,3.58
Norman Wells,65.28,-126.83,24.0,50,40,3.6
Hobart,-42.88,147.33,11.03,66,75,2.6
San Cristobal,7.77,-72.22,30.0,51,40,11.8
Kumul,42.8,93.45,22.51,31,0,6.86
Cumana,10.46,-64.18,29.0,83,0,3.6
Baliton,5.74,125.24,29.13,70,100,1.07
Mount Isa,-20.73,139.5,21.0,22,0,6.2
